outcome,treatment,learner,backend,theta,se,t_stat,p_value,n,spec,x_var_count,treatment_role
frequent_mental_distress_rate,l1_disp_top10_share_z,glmnet,DoubleML,7.475524748042975e-4,5.610843314154939e-4,1.3323353245641079,0.1827500242895988,455,baseline,8,primary
frequent_mental_distress_rate,l1_disp_top10_share_z,ranger,DoubleML,1.4104751697556912e-4,5.748864772395219e-4,0.24534846888875902,0.8061866255715252,455,baseline,8,primary
frequent_mental_distress_rate,l1_disp_top10_share_z,xgboost,DoubleML,3.080942984254807e-4,6.079704234733408e-4,0.5067586950452869,0.6123241413471154,455,baseline,8,primary
fair_poor_health_rate,l1_disp_top10_share_z,glmnet,DoubleML,0.0013730084036379841,4.412069493215216e-4,3.111937392983874,0.0018586391153850687,455,baseline,8,primary
fair_poor_health_rate,l1_disp_top10_share_z,ranger,DoubleML,6.666286306396031e-4,4.448186883790272e-4,1.4986524803372763,0.133963810452249,455,baseline,8,primary
fair_poor_health_rate,l1_disp_top10_share_z,xgboost,DoubleML,3.1271812180704917e-4,4.570666899936471e-4,0.6841848873550505,0.4938584240539071,455,baseline,8,primary
log_real_pce_pc,l1_disp_top10_share_z,glmnet,DoubleML,-0.004411413800235314,0.0010740045776222488,-4.107444132130046,4.0006150340155265e-5,459,baseline,8,primary
log_real_pce_pc,l1_disp_top10_share_z,ranger,DoubleML,-0.0025421734851109436,0.0010185764967526986,-2.4958100773143608,0.012566986652363887,459,baseline,8,primary
log_real_pce_pc,l1_disp_top10_share_z,xgboost,DoubleML,-0.0016275995514381237,8.78247893921974e-4,-1.8532347902023256,0.06384871316617335,459,baseline,8,primary
real_pce_pc_growth,l1_disp_top10_share_z,glmnet,DoubleML,0.002324050224500871,0.09353992276219512,0.02484554354838695,0.9801781637589668,459,baseline,8,primary
real_pce_pc_growth,l1_disp_top10_share_z,ranger,DoubleML,-0.002865104813499529,0.08847852714453804,-0.03238192255188775,0.974167478641507,459,baseline,8,primary
real_pce_pc_growth,l1_disp_top10_share_z,xgboost,DoubleML,0.024211712636616624,0.08817754778438477,0.27457911049896805,0.7836396170847577,459,baseline,8,primary
frequent_mental_distress_rate,l1_acs_gini_z,glmnet,DoubleML,0.0018556662944632508,0.001342078996994651,1.3826803776966095,0.16676289114797213,455,baseline,8,alternative
frequent_mental_distress_rate,l1_acs_gini_z,ranger,DoubleML,-1.938603918377914e-4,0.0015277239809823634,-0.12689490657411456,0.899023578018157,455,baseline,8,alternative
frequent_mental_distress_rate,l1_acs_gini_z,xgboost,DoubleML,-7.777429055470483e-4,0.0016241448396196539,-0.4788630216804937,0.63203607906178,455,baseline,8,alternative
fair_poor_health_rate,l1_acs_gini_z,glmnet,DoubleML,0.0033952737856829404,0.0016538957842622327,2.0528946370085217,0.040082797273838316,455,baseline,8,alternative
fair_poor_health_rate,l1_acs_gini_z,ranger,DoubleML,0.001341902609464455,0.0017673928655003014,0.7592554183388075,0.4476997806110835,455,baseline,8,alternative
fair_poor_health_rate,l1_acs_gini_z,xgboost,DoubleML,7.624019048022594e-4,0.0017104228821917397,0.44573883613233467,0.655785907903138,455,baseline,8,alternative
log_real_pce_pc,l1_acs_gini_z,glmnet,DoubleML,0.0033562458506759046,0.003197470786336721,1.049656455038668,0.29387609094235717,459,baseline,8,alternative
log_real_pce_pc,l1_acs_gini_z,ranger,DoubleML,0.003198871296101821,0.0029717067014430063,1.0764424680768487,0.2817294179298334,459,baseline,8,alternative
log_real_pce_pc,l1_acs_gini_z,xgboost,DoubleML,5.554882651374116e-4,0.002530139353673162,0.2195484862645903,0.8262228144485132,459,baseline,8,alternative
real_pce_pc_growth,l1_acs_gini_z,glmnet,DoubleML,0.39086551389447044,0.23364282097875227,1.6729189977123935,0.09434324333462507,459,baseline,8,alternative
real_pce_pc_growth,l1_acs_gini_z,ranger,DoubleML,0.37524909252919614,0.239736201684364,1.5652583543608822,0.11752234376831112,459,baseline,8,alternative
real_pce_pc_growth,l1_acs_gini_z,xgboost,DoubleML,0.28208540446037267,0.2579071410651729,1.0937479408105648,0.274065541980486,459,baseline,8,alternative
frequent_mental_distress_rate,l1_disp_mean_median_gap_z,glmnet,DoubleML,-6.673173911817151e-4,0.0012859789681966514,-0.5189178110101635,0.6038180567353213,455,baseline,8,alternative
frequent_mental_distress_rate,l1_disp_mean_median_gap_z,ranger,DoubleML,-0.001199356180287719,0.0012667547124021708,-0.9467943308561744,0.34374359114783454,455,baseline,8,alternative
frequent_mental_distress_rate,l1_disp_mean_median_gap_z,xgboost,DoubleML,-0.0012056929955406553,0.001239256842751674,-0.9729161493782896,0.33059497794953274,455,baseline,8,alternative
fair_poor_health_rate,l1_disp_mean_median_gap_z,glmnet,DoubleML,0.002932889197657182,0.0012118902021894917,2.4200948174664707,0.015516460620341375,455,baseline,8,alternative
fair_poor_health_rate,l1_disp_mean_median_gap_z,ranger,DoubleML,0.0020633231469689094,0.001179285099877559,1.749638952601993,0.08018063381508808,455,baseline,8,alternative
