term,estimate,std.error,statistic,p.value,conf.low,conf.high
year::-9,0.012029387071438167,0.009425856687315111,1.2762115392255824,0.20789681921702857,-0.006912581116119327,0.03097135525899566
year::-8,-0.028486450803245945,0.009114723502637959,-3.1253225394057726,0.0029831565292240477,-0.04680317344742707,-0.010169728159064816
year::-7,-0.02721887088478528,0.00838525718780114,-3.246038884100449,0.002113092064213167,-0.044069676086350415,-0.010368065683220143
year::-6,-0.02419817409056177,0.004138957887499849,-5.846441241560627,4.0317861626356933e-7,-0.032515721368802215,-0.015880626812321323
year::-5,-0.006449718339228528,0.0037816733970848764,-1.7055196633850846,0.09443000633688013,-0.014049275552920706,0.0011498388744636493
year::-4,-0.005819218111746151,0.005885166763925481,-0.9887940894753267,0.3276216227406461,-0.01764590350690682,0.006007467283414517
year::-3,-0.010162271682595876,0.008215805505023096,-1.2369172659190535,0.2220133113519768,-0.02667255097856038,0.006348007613368626
year::-2,0.0011704916201313621,0.003948032140621721,0.29647469383241587,0.7681206151592167,-0.006763376005052392,0.009104359245315117
year::0,-0.005508851583361729,0.0028779969855532296,-1.9141269469755116,0.06145350608718776,-0.011292403058062096,2.7469989133863896e-4
year::1,0.0015442893101798032,0.005658302830646344,0.2729244715952045,0.7860582472441462,-0.009826495942465372,0.012915074562824978
year::2,-0.014271730161516307,0.00920689342851985,-1.5501135396340422,0.12754963683244844,-0.032773675206357725,0.0042302148833251105
year::3,-0.009373760718347727,0.0037809660884594093,-2.4791972472218484,0.016656560536510573,-0.01697189654214116,-0.001775624894554296
year::4,0.006894934386388729,0.0023121023118259573,2.9821060906874535,0.00445053373539465,0.002248590834834018,0.01154127793794344
year::5,-0.0016674998272133534,0.003406430317619532,-0.48951532006638226,0.626661267191859,-0.008512977840507856,0.0051779781860811485
year::6,0.014479517123274289,0.0031467336626156534,4.601443488941008,2.988790564073177e-5,0.008155919077040876,0.020803115169507704
year::7,-0.0033332865736040076,0.0057635155942383645,-0.5783425964763949,0.5656816317741252,-0.01491550479059364,0.008248931643385625
year::8,-0.002550683711816988,0.004560174832599858,-0.5593390177899793,0.5784781762850655,-0.01171469813238964,0.006613330708755663
year::9,-0.006094494411066075,0.004095963136567798,-1.4879270657140096,0.143177825050577,-0.014325640502506932,0.0021366516803747815
