term,estimate,std.error,statistic,p.value,conf.low,conf.high,spec,weighted,weight_var,control_count,outcome,treatment,treatment_role,model,n_obs
l1_disp_top10_share_z,2.503317581036788e-4,6.496542044883595e-4,0.3853307750094985,0.7016268245055519,-0.0010545371140359863,0.0015552006302433441,baseline,FALSE,NA,8,frequent_mental_distress_rate,l1_disp_top10_share_z,primary,baseline__frequent_mental_distress_rate__l1_disp_top10_share_z,455
l1_disp_top10_share_z,0.0011351084322038585,4.5077570068887725e-4,2.5181224952214176,0.01504561328062755,2.29698791071609e-4,0.002040518073336108,baseline,FALSE,NA,8,fair_poor_health_rate,l1_disp_top10_share_z,primary,baseline__fair_poor_health_rate__l1_disp_top10_share_z,455
l1_disp_top10_share_z,-0.003371718449645553,9.368153873875233e-4,-3.5991279552401365,7.318968654080791e-4,-0.005253367532338967,-0.0014900693669521391,baseline,FALSE,NA,8,log_real_pce_pc,l1_disp_top10_share_z,primary,baseline__log_real_pce_pc__l1_disp_top10_share_z,459
l1_disp_top10_share_z,0.006488969065687888,0.07722626306649835,0.08402541840073675,0.9333717464927556,-0.1486245453100178,0.16160248344139358,baseline,FALSE,NA,8,real_pce_pc_growth,l1_disp_top10_share_z,primary,baseline__real_pce_pc_growth__l1_disp_top10_share_z,459
l1_acs_gini_z,1.1646178483359676e-4,0.0015950379794131891,0.07301505439791646,0.9420854482355632,-0.0030872662828635494,0.0033201898525307433,baseline,FALSE,NA,8,frequent_mental_distress_rate,l1_acs_gini_z,alternative,baseline__frequent_mental_distress_rate__l1_acs_gini_z,455
l1_acs_gini_z,0.0013103760482949013,0.0016614641278542364,0.7886875354854868,0.43401837707773816,-0.0020267728651352686,0.004647524961725071,baseline,FALSE,NA,8,fair_poor_health_rate,l1_acs_gini_z,alternative,baseline__fair_poor_health_rate__l1_acs_gini_z,455
l1_acs_gini_z,0.002352245353439719,0.002681929900378083,0.8770719000180106,0.384642374211973,-0.003034569385980164,0.007739060092859603,baseline,FALSE,NA,8,log_real_pce_pc,l1_acs_gini_z,alternative,baseline__log_real_pce_pc__l1_acs_gini_z,459
l1_acs_gini_z,0.4506390649170248,0.23299055405884422,1.9341516515009067,0.058763981289751806,-0.01733623547127161,0.9186143653053213,baseline,FALSE,NA,8,real_pce_pc_growth,l1_acs_gini_z,alternative,baseline__real_pce_pc_growth__l1_acs_gini_z,459
l1_disp_mean_median_gap_z,-7.559896529596501e-4,0.0015286072370466924,-0.4945610845204692,0.6230761015115853,-0.0038262876477529514,0.002314308341833651,baseline,FALSE,NA,8,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,alternative,baseline__frequent_mental_distress_rate__l1_disp_mean_median_gap_z,455
l1_disp_mean_median_gap_z,0.0026429019210804094,0.0014358899691481715,1.840601980560033,0.07161800236476262,-2.4116796042623076e-4,0.005526971802587049,baseline,FALSE,NA,8,fair_poor_health_rate,l1_disp_mean_median_gap_z,alternative,baseline__fair_poor_health_rate__l1_disp_mean_median_gap_z,455
l1_disp_mean_median_gap_z,-0.007359540414978837,0.002930688314416733,-2.5111986077726374,0.015309409504931263,-0.013246001133627786,-0.0014730796963298891,baseline,FALSE,NA,8,log_real_pce_pc,l1_disp_mean_median_gap_z,alternative,baseline__log_real_pce_pc__l1_disp_mean_median_gap_z,459
l1_disp_mean_median_gap_z,0.045929614858457056,0.1916605851449899,0.2396403768866281,0.8115887542357468,-0.33903199986507615,0.4308912295819902,baseline,FALSE,NA,8,real_pce_pc_growth,l1_disp_mean_median_gap_z,alternative,baseline__real_pce_pc_growth__l1_disp_mean_median_gap_z,459
l1_disp_top10_share_z,9.717400847673529e-5,6.643803784281335e-4,0.1462626104440962,0.8843021939045408,-0.0012372732545160438,0.0014316212714695145,rich,FALSE,NA,13,frequent_mental_distress_rate,l1_disp_top10_share_z,primary,rich__frequent_mental_distress_rate__l1_disp_top10_share_z,454
l1_disp_top10_share_z,9.460884090093188e-4,4.5651289583085845e-4,2.072424279028148,0.0434016042629785,2.9155272296742664e-5,0.001863021545721895,rich,FALSE,NA,13,fair_poor_health_rate,l1_disp_top10_share_z,primary,rich__fair_poor_health_rate__l1_disp_top10_share_z,454
l1_disp_top10_share_z,-0.0032420411686510703,9.075495933942014e-4,-3.5723019350666645,7.941389375507977e-4,-0.0050649081741463335,-0.0014191741631558068,rich,FALSE,NA,13,log_real_pce_pc,l1_disp_top10_share_z,primary,rich__log_real_pce_pc__l1_disp_top10_share_z,458
l1_disp_top10_share_z,-0.014431726433809626,0.08148591261290909,-0.1771070111513157,0.8601398352023137,-0.17810099872031449,0.14923754585269522,rich,FALSE,NA,13,real_pce_pc_growth,l1_disp_top10_share_z,primary,rich__real_pce_pc_growth__l1_disp_top10_share_z,458
l1_acs_gini_z,-2.4149731516160753e-4,0.0014752142607107315,-0.16370321355574374,0.8706247194243474,-0.0032045523608131344,0.0027215577304899193,rich,FALSE,NA,13,frequent_mental_distress_rate,l1_acs_gini_z,alternative,rich__frequent_mental_distress_rate__l1_acs_gini_z,454
l1_acs_gini_z,0.001382931790599287,0.001690769035159573,0.81793063501944685,0.41727771182979423,-0.0020130777614282844,0.004778941342626858,rich,FALSE,NA,13,fair_poor_health_rate,l1_acs_gini_z,alternative,rich__fair_poor_health_rate__l1_acs_gini_z,454
l1_acs_gini_z,0.0025969545853251866,0.0027328386040551722,0.9502773348823631,0.3465423089153765,-0.0028921132947505525,0.008086022465400926,rich,FALSE,NA,13,log_real_pce_pc,l1_acs_gini_z,alternative,rich__log_real_pce_pc__l1_acs_gini_z,458
l1_acs_gini_z,0.4727463590176285,0.249952002380233,1.8913485569860544,0.06437776379060053,-0.029297012951019497,0.9747897309862765,rich,FALSE,NA,13,real_pce_pc_growth,l1_acs_gini_z,alternative,rich__real_pce_pc_growth__l1_acs_gini_z,458
l1_disp_mean_median_gap_z,-0.0011220994682800912,0.0015377331845052157,-0.7297101210969447,0.46897233846432873,-0.004210727467997762,0.00196652853143758,rich,FALSE,NA,13,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,alternative,rich__frequent_mental_distress_rate__l1_disp_mean_median_gap_z,454
l1_disp_mean_median_gap_z,0.002248119247275577,0.0014006661989566886,1.6050356958354024,0.1147843747624208,-5.652016096504169e-4,0.005061440104201571,rich,FALSE,NA,13,fair_poor_health_rate,l1_disp_mean_median_gap_z,alternative,rich__fair_poor_health_rate__l1_disp_mean_median_gap_z,454
l1_disp_mean_median_gap_z,-0.007718490635952373,0.003029924292854154,-2.5474202950073197,0.013974437173418845,-0.013804272683340037,-0.0016327085885647083,rich,FALSE,NA,13,log_real_pce_pc,l1_disp_mean_median_gap_z,alternative,rich__log_real_pce_pc__l1_disp_mean_median_gap_z,458
l1_disp_mean_median_gap_z,0.02958207245500214,0.19208233086625204,0.15400725470996235,0.8782239551721832,-0.3562266434799616,0.4153907883899659,rich,FALSE,NA,13,real_pce_pc_growth,l1_disp_mean_median_gap_z,alternative,rich__real_pce_pc_growth__l1_disp_mean_median_gap_z,458
l1_disp_top10_share_z,-9.100464155867063e-5,6.984439961058927e-4,-0.13029626149849988,0.8968548431348489,-0.0014938706942292297,0.0013118614111118886,weighted,TRUE,total_population,8,frequent_mental_distress_rate,l1_disp_top10_share_z,primary,weighted__frequent_mental_distress_rate__l1_disp_top10_share_z,455
l1_disp_top10_share_z,2.72392023672895e-4,5.599120902093121e-4,0.486490698157753,0.6287449648382589,-8.522245070924019e-4,0.001397008554438192,weighted,TRUE,total_population,8,fair_poor_health_rate,l1_disp_top10_share_z,primary,weighted__fair_poor_health_rate__l1_disp_top10_share_z,455
l1_disp_top10_share_z,-0.0027666906435180093,0.001386347469348384,-1.9956689824798535,0.05143216671766363,-0.005551251485615536,1.7870198579517105e-5,weighted,TRUE,total_population,8,log_real_pce_pc,l1_disp_top10_share_z,primary,weighted__log_real_pce_pc__l1_disp_top10_share_z,459
l1_disp_top10_share_z,0.059778029454419256,0.05958585137724418,1.003225230029162,0.3205827934681689,-0.059903675281626205,0.1794597341904647,weighted,TRUE,total_population,8,real_pce_pc_growth,l1_disp_top10_share_z,primary,weighted__real_pce_pc_growth__l1_disp_top10_share_z,459
l1_acs_gini_z,6.815663402817069e-4,0.0024864975303004115,0.27410698461436317,0.7851316861725645,-0.004312710931419221,0.0056758436119826354,weighted,TRUE,total_population,8,frequent_mental_distress_rate,l1_acs_gini_z,alternative,weighted__frequent_mental_distress_rate__l1_acs_gini_z,455
l1_acs_gini_z,0.002897667987944388,0.0023002710226738402,1.2597072081428613,0.21362343690817795,-0.001722562334948489,0.007517898310837264,weighted,TRUE,total_population,8,fair_poor_health_rate,l1_acs_gini_z,alternative,weighted__fair_poor_health_rate__l1_acs_gini_z,455
l1_acs_gini_z,-0.0062819269538178174,0.004550840045182925,-1.3803884319044024,0.1736075330253647,-0.01542255819428302,0.002858704286647384,weighted,TRUE,total_population,8,log_real_pce_pc,l1_acs_gini_z,alternative,weighted__log_real_pce_pc__l1_acs_gini_z,459
l1_acs_gini_z,0.5216954635203908,0.24851020401799334,2.099291920755968,0.04086050970745567,0.02254802879003115,1.0208428982507503,weighted,TRUE,total_population,8,real_pce_pc_growth,l1_acs_gini_z,alternative,weighted__real_pce_pc_growth__l1_acs_gini_z,459
l1_disp_mean_median_gap_z,-6.907359642728124e-4,0.0016073697570775727,-0.4297305963555447,0.6692379658391141,-0.003919233136366157,0.0025377612078205324,weighted,TRUE,total_population,8,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,alternative,weighted__frequent_mental_distress_rate__l1_disp_mean_median_gap_z,455
l1_disp_mean_median_gap_z,0.0019310706334506593,0.001440236475576392,1.340801088014267,0.186044988109944,-9.617294631481873e-4,0.004823870730049506,weighted,TRUE,total_population,8,fair_poor_health_rate,l1_disp_mean_median_gap_z,alternative,weighted__fair_poor_health_rate__l1_disp_mean_median_gap_z,455
l1_disp_mean_median_gap_z,-0.010075763142847683,0.003186314197078236,-3.1622001220365794,0.0026611433156233915,-0.016475663557405193,-0.003675862728290173,weighted,TRUE,total_population,8,log_real_pce_pc,l1_disp_mean_median_gap_z,alternative,weighted__log_real_pce_pc__l1_disp_mean_median_gap_z,459
l1_disp_mean_median_gap_z,-0.052690668732492625,0.18999700144602258,-0.2773236858028091,0.7826749720967456,-0.4343108772587227,0.32892953979373746,weighted,TRUE,total_population,8,real_pce_pc_growth,l1_disp_mean_median_gap_z,alternative,weighted__real_pce_pc_growth__l1_disp_mean_median_gap_z,459
