term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,family,spec,outcome,treatment,control_count
l1_acs_gini_z,-0.01107447424081711,0.00490640929250688,-2.2571443963572615,0.02839953444897249,-0.02092928733297767,-0.00121966114865656,dynamic_fe_extension,305,material_wellbeing,rich,log_rpp_adj_median_hh_income,l1_acs_gini_z,13
l1_disp_mean_median_gap_z,0.00961897854080917,0.00449939308193076,2.1378391186665353,0.03744194168184795,5.816815671740114e-4,0.01865627551444434,dynamic_fe_extension,305,material_wellbeing,rich,log_rpp_adj_median_hh_income,l1_disp_mean_median_gap_z,13
l1_disp_top10_share_z,1.2693788279283875,0.7736883960760979,1.640684847241182,0.1071395850635992,-0.28462004993688095,2.823377705793656,dynamic_fe_extension,305,secondary_wellbeing,baseline,frequent_physical_distress_rate,l1_disp_top10_share_z,8
l1_acs_gini_z,-0.00808246903129729,0.00527370489502056,-1.532597896960212,0.1316784548852021,-0.01867501705272124,0.00251007899012664,dynamic_fe_extension,306,material_wellbeing,baseline,log_rpp_adj_median_hh_income,l1_acs_gini_z,8
l1_disp_mean_median_gap_z,0.00335089374117947,0.00221754116594692,1.5110852473165168,0.13706149754009217,-0.00110316877414177,0.00780495625650072,dynamic_fe_extension,305,secondary_wellbeing,baseline,frequent_physical_distress_rate,l1_disp_mean_median_gap_z,8
l1_disp_top10_share_z,2.63682183924914,1.8727670109372456,1.407981785160512,0.16532387744865262,-1.1247414054105702,6.39838508390885,dynamic_fe_extension,305,material_wellbeing,rich,log_rpp_adj_median_hh_income,l1_disp_top10_share_z,13
l1_acs_gini_z,0.00302401205875604,0.00215352372011436,1.4042158117466406,0.16643604765855036,-0.00130146763240479,0.00734949174991688,dynamic_fe_extension,305,secondary_wellbeing,baseline,frequent_physical_distress_rate,l1_acs_gini_z,8
l1_disp_top10_share_z,26.614845653323695,20.15385760392709,1.3205831943626338,0.19265335022433103,-13.865368681025265,67.09505998767266,dynamic_fe_extension,305,secondary_wellbeing,baseline,mean_bad_physical_days,l1_disp_top10_share_z,8
l1_acs_gini_z,0.00222637116120127,0.00200653338728106,1.1095609847878511,0.2724963713755485,-0.0018038697575565,0.00625661207995906,dynamic_fe_extension,304,secondary_wellbeing,rich,frequent_physical_distress_rate,l1_acs_gini_z,13
l1_disp_mean_median_gap_z,0.06425271686250215,0.06458785639364986,0.9948111061450144,0.32461831349199943,-0.06547581062801865,0.19398124435302297,dynamic_fe_extension,305,secondary_wellbeing,baseline,mean_bad_physical_days,l1_disp_mean_median_gap_z,8
l1_disp_mean_median_gap_z,0.00447349744296885,0.00483326232622622,0.925564792685634,0.3591181027738748,-0.00523439564354614,0.01418139052948385,dynamic_fe_extension,306,material_wellbeing,baseline,log_rpp_adj_median_hh_income,l1_disp_mean_median_gap_z,8
l1_disp_top10_share_z,0.7124726476864274,0.8049860442428614,0.8850745336294016,0.38035311859377297,-0.904389406591518,2.3293347019643726,dynamic_fe_extension,304,secondary_wellbeing,rich,frequent_physical_distress_rate,l1_disp_top10_share_z,13
l1_disp_top10_share_z,0.34241433261520066,0.3955669124602743,0.8656293583442431,0.39082806098272505,-0.4521051938524472,1.1369338590828486,dynamic_fe_extension,305,material_wellbeing,rich,employment_to_population_ratio,l1_disp_top10_share_z,13
l1_acs_gini_z,0.05183118711355068,0.06095461098457559,0.8503243032207428,0.3991984744190663,-0.07059975220407574,0.1742621264311771,dynamic_fe_extension,305,secondary_wellbeing,baseline,mean_bad_physical_days,l1_acs_gini_z,8
l1_disp_mean_median_gap_z,0.00165648140068255,0.00239161462539294,0.6926205347194622,0.4917522307692671,-0.0031472179477839,0.006460180749149,dynamic_fe_extension,304,secondary_wellbeing,rich,frequent_physical_distress_rate,l1_disp_mean_median_gap_z,13
l1_disp_top10_share_z,13.453580778008137,20.761832447571955,0.6479958265717292,0.5199523500526315,-28.24778696847175,55.15494852448802,dynamic_fe_extension,304,secondary_wellbeing,rich,mean_bad_physical_days,l1_disp_top10_share_z,13
