term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,dropped_state,outcome,treatment,diff_n,inference_standard
l1_disp_top10_share_z,0.22059149056249205,0.7120651362150415,0.3097911684527047,0.7580334524324472,-1.2103569743983145,1.6515399555232984,dynamic_fe,299,baseline,Alabama,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.1581012751602186,0.7576090689103528,0.20868450715302428,0.8355596198153158,-1.3643711491465662,1.6805736994670035,dynamic_fe,299,baseline,Alaska,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.20507176840444433,0.7206933002884636,0.2845479045279908,0.777189651171557,-1.2432156414201991,1.6533591782290877,dynamic_fe,299,baseline,Arizona,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.2941092015995931,0.7418517279001675,0.3964528092858631,0.6934923205563912,-1.196697660410122,1.7849160636093084,dynamic_fe,299,baseline,Arkansas,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.1181187531204312,0.7207990347477577,0.16387196351028221,0.8705060132903312,-1.330381138055321,1.5666186442961836,dynamic_fe,299,baseline,California,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.13158480508372297,0.720913854095681,0.18252500536112432,0.8559238132759193,-1.3171458242103593,1.5803154343778052,dynamic_fe,299,baseline,Colorado,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.3053398831360231,0.72151146522328,0.4231947763179788,0.6740048622321442,-1.1445916906815152,1.7552714569535612,dynamic_fe,299,baseline,Connecticut,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.39314565695104825,0.7017308620264331,0.5602513416835286,0.577860646000458,-1.0170353065066267,1.8033266204087233,dynamic_fe,299,baseline,Delaware,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.6723927747749723,0.7197162770982622,0.934247002841053,0.35475776780705515,-0.7739312334405417,2.1187167829904863,dynamic_fe,299,baseline,District of Columbia,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
l1_disp_top10_share_z,0.2255541869923444,0.7033970125301101,0.32066412420636936,0.7498285306375077,-1.1879750312588504,1.639083405243539,dynamic_fe,299,baseline,Florida,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,conventional_clustered
