term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,sample,outcome,treatment,diff_n,n_states,year_span,inference_standard
l1_disp_top10_share_z,0.2740899246431807,0.7073342544054357,0.3874970326067025,0.7000329428209389,-1.1466327373438547,1.6948125866302162,dynamic_fe,305,baseline,full,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,51,2012-2019,conventional_clustered
l1_disp_top10_share_z,0.6723927747749723,0.7197162770982622,0.934247002841053,0.35475776780705515,-0.7739312334405417,2.1187167829904863,dynamic_fe,299,baseline,exclude_dc,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,50,2012-2019,conventional_clustered
l1_disp_top10_share_z,-0.5788555899733969,1.4402438725232756,-0.4019149819115388,0.689459507896911,-3.471670543777308,2.3139593638305147,dynamic_fe,102,baseline,early_period,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,51,2012-2015,conventional_clustered
l1_disp_top10_share_z,0.3765992708324,1.4394806972618186,0.2616216192052922,0.7946879146122664,-2.514682800345982,3.2678813420107824,dynamic_fe,152,baseline,late_period,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,51,2016-2019,conventional_clustered
l1_disp_top10_share_z,0.2433611202618284,0.7426338170946809,0.32770002477654675,0.7450366910122411,-1.2627700691131072,1.749492309636764,dynamic_fe,222,baseline,exclude_top_ineq_states,frequent_mental_distress_rate,l1_disp_top10_share_z,NA,38,2012-2019,conventional_clustered
d2_l1_disp_top10_share_z,-0.554449514218712,0.8086272919669376,-0.6856675748230643,0.49608978010419336,-2.178625229792267,1.0697262013548428,long_diff_2y,203,baseline,full,frequent_mental_distress_rate,l1_disp_top10_share_z,2,51,2012-2019,conventional_clustered
d2_l1_disp_top10_share_z,-0.04703668974373127,0.7846075523978792,-0.059949320650789104,0.9524398387727329,-1.6237645979070916,1.529691218419629,long_diff_2y,199,baseline,exclude_dc,frequent_mental_distress_rate,l1_disp_top10_share_z,2,50,2012-2019,conventional_clustered
d2_l1_disp_top10_share_z,-0.5095105090716248,1.1456333845101243,-0.44474132472099065,0.6584260043989671,-2.810582882656269,1.7915618645130198,long_diff_2y,101,baseline,late_period,frequent_mental_distress_rate,l1_disp_top10_share_z,2,51,2016-2019,conventional_clustered
d2_l1_disp_top10_share_z,-0.37300941047527014,0.9367222990082389,-0.39820703624777204,0.6928294298512045,-2.2727702856784955,1.5267514647279552,long_diff_2y,148,baseline,exclude_top_ineq_states,frequent_mental_distress_rate,l1_disp_top10_share_z,2,38,2012-2019,conventional_clustered
d3_l1_disp_top10_share_z,-0.570926607513297,0.8200414419740829,-0.6962167742875377,0.48951699884730593,-2.2180283180905884,1.0761751030639943,long_diff_3y,152,baseline,full,frequent_mental_distress_rate,l1_disp_top10_share_z,3,51,2012-2019,conventional_clustered
