term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,outcome,treatment,control_count
l1_disp_top10_share_z,-0.5549784852121712,0.6845770594335348,-0.8106881140180155,0.4213868759302788,-1.9299919758725412,0.820035005448199,cce_dynamic_fe,305,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,8
l1_disp_top10_share_z,0.5596533642070931,0.8148862042235843,0.6867871382610109,0.49538993160756384,-1.0770937466113883,2.1964004750255746,cce_dynamic_fe,305,baseline,fair_poor_health_rate,l1_disp_top10_share_z,8
l1_acs_gini_z,-5.017777171150212e-4,0.002072831631811417,-0.24207355262932048,0.8097133259929077,-0.004665182579040531,0.003661627144810489,cce_dynamic_fe,305,baseline,frequent_mental_distress_rate,l1_acs_gini_z,8
l1_acs_gini_z,0.0019013478574051283,0.0028458912874822447,0.668102771798865,0.5071404927551505,-0.0038147930201155,0.007617488734925756,cce_dynamic_fe,305,baseline,fair_poor_health_rate,l1_acs_gini_z,8
l1_disp_mean_median_gap_z,-0.002143121375511509,0.0020478062176105486,-1.0465450085468426,0.3003424858390148,-0.0062562612137097694,0.001970018462686752,cce_dynamic_fe,305,baseline,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,8
l1_disp_mean_median_gap_z,8.163663816842155e-4,0.0021896567496691452,0.3728284726853045,0.7108519758503942,-0.0035816886352366805,0.005214421398605111,cce_dynamic_fe,305,baseline,fair_poor_health_rate,l1_disp_mean_median_gap_z,8
l1_disp_top10_share_z,-0.5626782770813551,0.7928661215330635,-0.7096762767380909,0.4812015130408329,-2.155196750162579,1.0298401959998684,cce_dynamic_fe,304,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,13
l1_disp_top10_share_z,0.16680562780382868,0.8882539015918177,0.187790481420797,0.8518009376731183,-1.6173048400974692,1.9509160957051264,cce_dynamic_fe,304,rich,fair_poor_health_rate,l1_disp_top10_share_z,13
l1_acs_gini_z,-8.31671390195261e-4,0.002052352324610329,-0.40522837147523716,0.6870383363311103,-0.004953942353032515,0.0032905995726419932,cce_dynamic_fe,304,rich,frequent_mental_distress_rate,l1_acs_gini_z,13
l1_acs_gini_z,0.0019287188283936593,0.0028900252660616467,0.6673709226847009,0.5076038027028662,-0.003876067753955886,0.007733505410743205,cce_dynamic_fe,304,rich,fair_poor_health_rate,l1_acs_gini_z,13
l1_disp_mean_median_gap_z,-0.002408168264634404,0.0022798115452923318,-1.056301460358476,0.2959076951423676,-0.0069873045178038325,0.0021709679885350253,cce_dynamic_fe,304,rich,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,13
l1_disp_mean_median_gap_z,-4.423306993817436e-5,0.0024565079491036534,-0.018006483534610342,0.9857053441365624,-0.004978274495058269,0.00488980835518192,cce_dynamic_fe,304,rich,fair_poor_health_rate,l1_disp_mean_median_gap_z,13
