term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,outcome,treatment,control_count
l1_disp_top10_share_z,0.2740899246431821,0.7073342544054356,0.3874970326067045,0.7000329428209373,-1.1466327373438532,1.6948125866302173,dynamic_fe,305,baseline,frequent_mental_distress_rate,l1_disp_top10_share_z,8
l1_disp_top10_share_z,1.343010391978819,0.9126337824899114,1.471576461167944,0.14740170991103685,-0.4900685078522762,3.176089291809914,dynamic_fe,305,baseline,fair_poor_health_rate,l1_disp_top10_share_z,8
l1_acs_gini_z,-3.2582917223285425e-4,0.002619511541732549,-0.12438546921513097,0.9015088043817174,-0.005587272948632878,0.004935614604167169,dynamic_fe,305,baseline,frequent_mental_distress_rate,l1_acs_gini_z,8
l1_acs_gini_z,0.0017363885923163448,0.003046491502582468,0.5699633794627139,0.5712547947520143,-0.004382669675133209,0.0078554468597659,dynamic_fe,305,baseline,fair_poor_health_rate,l1_acs_gini_z,8
l1_disp_mean_median_gap_z,4.1778472300877236e-4,0.002305856584036706,0.18118417507015339,0.8569554868323537,-0.004213664530055687,0.005049233976073232,dynamic_fe,305,baseline,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,8
l1_disp_mean_median_gap_z,0.0032124972985789844,0.002295042869695851,1.3997548111180678,0.167760961948612,-0.001397231970010496,0.007822226567168465,dynamic_fe,305,baseline,fair_poor_health_rate,l1_disp_mean_median_gap_z,8
l1_disp_top10_share_z,0.19124273683647564,0.8037019197226694,0.23795232055992488,0.8128905193418096,-1.423040077435366,1.805525551108317,dynamic_fe,304,rich,frequent_mental_distress_rate,l1_disp_top10_share_z,13
l1_disp_top10_share_z,0.6055500503083783,0.9754771451539984,0.6207731809162789,0.5375684887799429,-1.3537534582367217,2.564853558853478,dynamic_fe,304,rich,fair_poor_health_rate,l1_disp_top10_share_z,13
l1_acs_gini_z,-6.616038323811652e-4,0.0024621380921217117,-0.26871109890145833,0.7892576687142112,-0.005606953732562611,0.004283746067800281,dynamic_fe,304,rich,frequent_mental_distress_rate,l1_acs_gini_z,13
l1_acs_gini_z,0.0014852214072603202,0.002997275733570409,0.49552378202158187,0.6224014007240493,-0.004534984078881017,0.007505426893401657,dynamic_fe,304,rich,fair_poor_health_rate,l1_acs_gini_z,13
l1_disp_mean_median_gap_z,7.115710442882886e-5,0.002440349469396629,0.02915857147559374,0.9768541993054072,-0.004830429059038026,0.004972743267895684,dynamic_fe,304,rich,frequent_mental_distress_rate,l1_disp_mean_median_gap_z,13
l1_disp_mean_median_gap_z,0.0013055804089494452,0.0026258446051960743,0.4972039877629988,0.6212246213248603,-0.003968583699777754,0.006579744517676645,dynamic_fe,304,rich,fair_poor_health_rate,l1_disp_mean_median_gap_z,13
