term,estimate,std.error,statistic,p.value,conf.low,conf.high,model_type,n_obs,spec,outcome,outcome_variant,treatment,control_count,weight_var
l1_disp_top10_share_z,0.24268149771606443,0.7243467946726407,0.3350349577038457,0.7390002871959738,-1.2122118570446467,1.6975748524767758,dynamic_fe_age_std,305,baseline,frequent_mental_distress_rate,frequent_mental_distress_rate_age_std,l1_disp_top10_share_z,8,NA
l1_disp_top10_share_z,1.0008433992425267,0.6439460344451473,1.554234898122943,0.12643592115922095,-0.29256027594342426,2.294247074428478,dynamic_fe_precision_weighted,305,baseline,frequent_mental_distress_rate,frequent_mental_distress_rate,l1_disp_top10_share_z,8,frequent_mental_distress_rate_precision_wt
l1_disp_top10_share_z,0.9315072411043471,0.6427814893246704,1.4491818083980958,0.15353010076469567,-0.35955737636841734,2.2225718585771115,dynamic_fe_age_std_precision_weighted,305,baseline,frequent_mental_distress_rate,frequent_mental_distress_rate_age_std,l1_disp_top10_share_z,8,frequent_mental_distress_rate_age_std_precision_wt
l1_disp_top10_share_z,1.2622863958894488,0.9122519681330338,1.3837036695824037,0.17259570542527738,-0.570025607236009,3.094598399014907,dynamic_fe_age_std,305,baseline,fair_poor_health_rate,fair_poor_health_rate_age_std,l1_disp_top10_share_z,8,NA
l1_disp_top10_share_z,1.500515489655156,0.6868576871310497,2.184609006740087,0.033632872411457494,0.12092122345163281,2.8801097558586792,dynamic_fe_precision_weighted,305,baseline,fair_poor_health_rate,fair_poor_health_rate,l1_disp_top10_share_z,8,fair_poor_health_rate_precision_wt
l1_disp_top10_share_z,1.4668187882741968,0.687597241210459,2.1332528700842106,0.03783508729751,0.08573908398558472,2.847898492562809,dynamic_fe_age_std_precision_weighted,305,baseline,fair_poor_health_rate,fair_poor_health_rate_age_std,l1_disp_top10_share_z,8,fair_poor_health_rate_age_std_precision_wt
l1_acs_gini_z,5.721388339000587e-4,0.002576721890754007,0.22204136036296798,0.8251861384554576,-0.004603359399123402,0.00574763706692352,dynamic_fe_age_std,305,baseline,frequent_mental_distress_rate,frequent_mental_distress_rate_age_std,l1_acs_gini_z,8,NA
l1_acs_gini_z,2.4975116033040273e-5,0.002264509658043473,0.011028928909324533,0.9912442552842362,-0.004523426392070356,0.004573376624136436,dynamic_fe_precision_weighted,305,baseline,frequent_mental_distress_rate,frequent_mental_distress_rate,l1_acs_gini_z,8,frequent_mental_distress_rate_precision_wt
l1_acs_gini_z,6.022298264318492e-4,0.0022453395261866856,0.2682132565735529,0.7896386545366769,-0.003907667338650423,0.0051121269915141215,dynamic_fe_age_std_precision_weighted,305,baseline,frequent_mental_distress_rate,frequent_mental_distress_rate_age_std,l1_acs_gini_z,8,frequent_mental_distress_rate_age_std_precision_wt
l1_acs_gini_z,0.0014743458998944807,0.003081128190207509,0.47850845822652577,0.6343741831557816,-0.004714282202097337,0.007662974001886298,dynamic_fe_age_std,305,baseline,fair_poor_health_rate,fair_poor_health_rate_age_std,l1_acs_gini_z,8,NA
